
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010300                       # Number of seconds simulated (Second)
simTicks                                  10300106500                       # Number of ticks simulated (Tick)
finalTick                                 10300106500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    332.04                       # Real time elapsed on the host (Second)
hostTickRate                                 31020863                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     644432                       # Number of bytes of host memory used (Byte)
simInsts                                     41841366                       # Number of instructions simulated (Count)
simOps                                       44377976                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   126013                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     133652                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20600214                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        45922928                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    42689                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       45286875                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1572                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1587640                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4160494                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 530                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20549964                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               2.203745                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              2.277499                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                   6716169     32.68%     32.68% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                   3702132     18.02%     50.70% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                   1636902      7.97%     58.66% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                   3603846     17.54%     76.20% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                    996399      4.85%     81.05% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                   1890938      9.20%     90.25% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                    903427      4.40%     94.65% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                    162655      0.79%     95.44% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                    937496      4.56%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total              20549964                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   12805      6.73%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      6.73% # attempts to use FU when none available (Count)
